X_id,Merged Injuries,DOS,TABLE_B_X_id,laser_color_merged
5d2de1672834ae4512fef638,1,2/2/11,5d2de1672834ae4512fef638,1
5d2de1672834ae4512fef5fd,1,1/31/11,5d2de1672834ae4512fef5fd,1
5d2de1652834ae4512fef1bd,0,1/15/11,5d2de1652834ae4512fef1bd,1
5d2de1652834ae4512fef1a1,1,1/14/11,5d2de1652834ae4512fef1a1,3
5d2de1662834ae4512fef283,0,1/17/11,5d2de1662834ae4512fef283,1
5d2de1662834ae4512fef30a,0,1/17/11,5d2de1662834ae4512fef30a,1
5d2de1672834ae4512fef4aa,1,1/20/11,5d2de1672834ae4512fef4aa,1
5d2de1662834ae4512fef219,0,1/15/11,5d2de1662834ae4512fef219,1
5d2de1662834ae4512fef297,1,1/14/11,5d2de1662834ae4512fef297,1
5d2de1672834ae4512fef4e9,1,1/13/11,5d2de1672834ae4512fef4e9,1
5d2de1662834ae4512fef25d,1,1/13/11,5d2de1662834ae4512fef25d,1
5d2de1662834ae4512fef284,0,1/17/11,5d2de1662834ae4512fef284,1
5d2de1672834ae4512fef6b0,1,2/3/11,5d2de1672834ae4512fef6b0,1
5d2de1652834ae4512fef0e8,1,1/23/11,5d2de1652834ae4512fef0e8,1
5d2de1662834ae4512fef44d,0,1/18/11,5d2de1662834ae4512fef44d,1
5d2de1672834ae4512fef61b,1,2/1/11,5d2de1672834ae4512fef61b,3
5d2de1652834ae4512fef1ae,1,1/13/11,5d2de1652834ae4512fef1ae,1
5d2de1662834ae4512fef2bc,1,1/17/11,5d2de1662834ae4512fef2bc,1
5d2de1672834ae4512fef5b4,1,1/31/11,5d2de1672834ae4512fef5b4,1
5d2de1662834ae4512fef3aa,0,1/17/11,5d2de1662834ae4512fef3aa,1
5d2de1672834ae4512fef5b3,1,1/31/11,5d2de1672834ae4512fef5b3,1
5d2de1652834ae4512fef0e9,1,1/23/11,5d2de1652834ae4512fef0e9,1
5d2de1652834ae4512fef144,1,1/24/11,5d2de1652834ae4512fef144,4
5d2de1652834ae4512fef0f5,1,1/23/11,5d2de1652834ae4512fef0f5,1
5d2de1662834ae4512fef221,0,1/16/11,5d2de1662834ae4512fef221,1
5d2de1662834ae4512fef2d1,1,1/18/11,5d2de1662834ae4512fef2d1,1
5d2de1662834ae4512fef44e,0,1/18/11,5d2de1662834ae4512fef44e,1
5d2de1672834ae4512fef47c,1,1/19/11,5d2de1672834ae4512fef47c,1
5d2de1672834ae4512fef64e,1,2/2/11,5d2de1672834ae4512fef64e,1
5d2de1682834ae4512fef830,1,1/25/11,5d2de1682834ae4512fef830,1
5d2de1682834ae4512fef7b9,1,1/24/11,5d2de1682834ae4512fef7b9,1
5d2de1682834ae4512fef7d8,1,1/25/11,5d2de1682834ae4512fef7d8,1
5d2de1692834ae4512fefad9,1,1/30/11,5d2de1692834ae4512fefad9,1
