X_id,year,month,week,wday,day,hour,minute,DOS,DOS_MONTH,DOS_QUARTER,DOS_WEEKNUMBER,DOS_WEEKDAY,DOS_MINUTE,DOS_HOUR,DOS_DAY,DOS_YEAR
5d2de3962834ae451204aac6,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204aada,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204aae0,2016,8,35,7,27,3,58,58:00.0,8,3,34,6,58,3,27,2016
5d2de3962834ae451204aaf0,2016,7,29,6,15,3,41,41:00.0,7,3,28,5,41,3,15,2016
5d2de3962834ae451204aaff,2016,12,52,2,26,0,15,15:00.0,12,4,52,1,15,0,26,2016
5d2de3962834ae451204ab03,2016,12,51,6,16,0,15,15:00.0,12,4,50,5,15,0,16,2016
5d2de3962834ae451204ab0a,2017,2,5,4,1,2,37,37:00.0,2,1,5,3,37,2,1,2017
5d2de3962834ae451204ab18,2016,12,52,7,24,23,1,01:00.0,12,4,51,6,1,23,24,2016
5d2de3962834ae451204ab22,2017,2,6,5,9,9,47,47:00.0,2,1,6,4,47,9,9,2017
5d2de3962834ae451204ab2d,2017,1,1,5,5,3,48,48:00.0,1,1,1,4,48,3,5,2017
5d2de3962834ae451204ab39,2016,9,39,1,25,0,10,10:00.0,9,3,38,7,10,0,25,2016
5d2de3962834ae451204ab51,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204ab5b,2016,9,38,2,19,4,0,00:00.0,9,3,38,1,0,4,19,2016
5d2de3962834ae451204ab66,2016,10,43,4,26,0,6,06:00.0,10,4,43,3,6,0,26,2016
5d2de3962834ae451204ab6e,2016,10,43,5,27,3,43,43:00.0,10,4,43,4,43,3,27,2016
5d2de3962834ae451204ab70,2016,11,47,2,21,0,15,15:00.0,11,4,47,1,15,0,21,2016
5d2de3962834ae451204ab71,2016,7,31,1,31,5,50,50:00.0,7,3,30,7,50,5,31,2016
5d2de3962834ae451204ab75,2016,11,46,3,15,2,5,05:00.0,11,4,46,2,5,2,15,2016
5d2de3962834ae451204ab8c,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204ab8f,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204ab92,2016,7,29,2,18,3,53,53:00.0,7,3,29,1,53,3,18,2016
5d2de3962834ae451204ab93,2016,8,33,2,15,3,19,19:00.0,8,3,33,1,19,3,15,2016
5d2de3962834ae451204ab96,2016,9,38,7,17,11,46,46:00.0,9,3,37,6,46,11,17,2016
5d2de3962834ae451204ab9b,2016,9,39,7,24,3,49,49:00.0,9,3,38,6,49,3,24,2016
5d2de3962834ae451204ab9f,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
5d2de3962834ae451204aba1,2016,11,47,7,19,23,30,30:00.0,11,4,46,6,30,23,19,2016
5d2de3962834ae451204aba6,2016,9,38,5,22,1,56,56:00.0,9,3,38,4,56,1,22,2016
5d2de3962834ae451204abb8,2016,8,34,4,24,6,0,00:00.0,8,3,34,3,0,6,24,2016
5d2de3962834ae451204abcb,2017,4,15,7,15,3,51,51:00.0,4,2,15,6,51,3,15,2017
5d2de3962834ae451204abcc,NA,NA,NA,NA,NA,NA,NA,07:00.0,2,1,5,3,7,2,1,2012
